Date,inflation,money_supply,exchange_rate,lending_rate,interbank_rate,Yield_Spread_5yr_1yr,Yield_Spread_5yr_91_days
1/1/2010,9.4,13135764.12,103.13,29.19,4.17,4.55,11.79
1/8/2010,9.4,13135765.12,103.13,29.17,4.2,5.56,12.08
1/15/2010,9.4,13135766.12,103.13,29.15,4.44,6.03,11.93
1/22/2010,9.4,13135767.12,103.13,29.17,4.58,5.37,12.15
1/29/2010,9.4,13135768.12,103.13,29.17,4.58,5.64,10.91
2/5/2010,9.2,13711415.57,101.68,29.15,2.42,6.76,10.97
2/12/2010,9.2,13711415.57,101.68,29.14,2.36,5.92,11.69
2/19/2010,9.2,13711415.57,101.68,29.12,2.04,7.43,12.37
2/26/2010,9.2,13711415.57,101.68,29.14,2.07,6.26,11.38
3/5/2010,10,13984449.27,104.4,29.14,2,6.45,12.14
3/12/2010,10,13984449.27,104.4,29.14,1.59,7.09,12.42
3/19/2010,10,13984449.27,104.4,29.09,1.66,7.39,13.35
3/26/2010,10,13984449.27,104.4,29.08,1.57,5.33,10.37
4/2/2010,9.5,14685587.19,104.32,28.66,1.81,6.13,10.39
4/9/2010,9.5,14685587.19,104.32,28.03,1.79,6.91,10.5
4/16/2010,9.5,14685587.19,104.32,27.84,1.61,4.75,7.4
4/23/2010,9.5,14685587.19,104.32,27.84,1.64,4.04,6.8
4/30/2010,9.5,14685587.19,104.32,27.84,1.49,4.22,7.1
5/7/2010,8.9,14980398.32,108.24,27.71,1.64,5.29,6.73
5/14/2010,8.9,14980398.32,108.24,28.44,1.57,5.32,5.88
5/21/2010,8.9,14980398.32,108.24,28.33,1.49,4.75,5.54
5/28/2010,8.9,14980398.32,108.24,28.33,1.5,5.25,5.19
6/4/2010,7.9,16066437.2,105.46,28.32,1.48,4.47,5.01
6/11/2010,7.9,16066437.2,105.46,28.32,1.49,4,4.99
6/18/2010,7.9,16066437.2,105.46,27.68,1.49,3.36,4.93
6/25/2010,7.9,16066437.2,105.46,27.67,1.49,3.17,4.63
7/2/2010,7.9,16437012.61,109.01,27.68,1.82,4.44,6.11
7/9/2010,7.9,16437012.61,109.01,27.67,1.79,4.23,6.25
7/16/2010,7.9,16437012.61,109.01,27.67,1.64,4.36,6.13
7/23/2010,7.9,16437012.61,109.01,27.55,1.75,4.34,6.1
7/30/2010,7.9,16437012.61,109.01,27.55,1.73,4.11,6.13
8/6/2010,7.7,16751305.33,108.35,27.1,1.71,5.13,7.19
8/13/2010,7.7,16751305.33,108.35,27.11,1.67,5.06,6.82
8/20/2010,7.7,16751305.33,108.35,27.1,1.8,4.79,6.92
8/27/2010,7.7,16751305.33,108.35,27.08,1.97,3.87,6.8
9/3/2010,7.8,17347094.68,109.85,26.79,1.92,4.26,7.56
9/10/2010,7.8,17347094.68,109.85,26.8,1.76,4.85,7.52
9/17/2010,7.8,17347094.68,109.85,26.8,2.07,4.95,7.53
9/24/2010,7.8,17347094.68,109.85,26.88,2,5.02,7.49
10/1/2010,6.9,16899620.75,109.76,26.62,2.64,4.79,7.19
10/8/2010,6.9,16899620.75,109.76,26.62,2.64,4.81,7.15
10/15/2010,6.9,16899620.75,109.76,26.61,1.82,4.82,7.6
10/22/2010,6.9,16899620.75,109.76,26.62,1.87,4.67,8.08
10/29/2010,6.9,16899620.75,109.76,26.64,1.77,4.73,9.06
11/5/2010,6.6,17599249.99,108.04,26.63,1.83,3.91,9
11/12/2010,6.6,17599249.99,108.04,26.6,1.93,2.9,9.06
11/19/2010,6.6,17599249.99,108.04,26.59,2.21,4.34,8.72
11/26/2010,6.6,17599249.99,108.04,26.59,2.45,4.74,8.02
12/3/2010,6.5,17918537.22,108.31,26.36,2.58,5.59,7.47
12/10/2010,6.5,17918537.22,108.31,26.35,2.34,5.52,6.72
12/17/2010,6.5,17918537.22,108.31,26.35,2.47,5.15,6.69
12/24/2010,6.5,17918537.22,108.31,26.35,8.52,4.52,5.39
12/31/2010,6.5,17918537.22,108.31,26.35,6.18,3.92,4.98
1/7/2011,6.3,18960002.29,107.05,26.37,3.13,4.08,5.21
1/14/2011,6.3,18960002.29,107.05,26.09,1.74,4.19,5.6
1/21/2011,6.3,18960002.29,107.05,26.09,1.72,3.78,6.11
1/28/2011,6.3,18960002.29,107.05,26.09,1.68,3.28,7.6
2/4/2011,6.5,18039877.32,105.35,26.09,1.48,3.06,9.36
2/11/2011,6.5,18039877.32,105.35,26.09,1.42,3.76,8.44
2/18/2011,6.5,18039877.32,105.35,26.09,1.57,4.54,8.54
2/25/2011,6.5,18039877.32,105.35,26.08,1.74,4.98,8.37
3/4/2011,6.6,17388034.07,108.32,26.08,2.3,6,7.97
3/11/2011,6.6,17388034.07,108.32,26.1,2.3,6.23,7.47
3/18/2011,6.6,17388034.07,108.32,26.1,2.84,6.25,7.8
3/25/2011,6.6,17388034.07,108.32,26.1,2.76,5.91,7.91
4/1/2011,6.3,17916205.13,109.72,26.1,2.66,5.09,8.37
4/8/2011,6.3,17916205.13,109.72,26.1,2.54,5.11,8.38
4/15/2011,6.3,17916205.13,109.72,26.1,2.59,5.12,8.89
4/22/2011,6.3,17916205.13,109.72,26.1,2.59,5.08,9.07
4/29/2011,6.3,17916205.13,109.72,26.1,2.59,5.15,9.15
5/6/2011,6.3,18862375.38,111.52,26.1,2.59,6.98,10.41
5/13/2011,6.3,18862375.38,111.52,26.1,2.59,7.14,10.25
5/20/2011,6.3,18862375.38,111.52,26.1,2.59,6.92,10.53
5/27/2011,6.3,18862375.38,111.52,26.09,3.32,6.38,10.56
6/3/2011,6.1,20341728.85,113.97,25.93,2.81,6.99,10.96
6/10/2011,6.1,20341728.85,113.97,25.99,2.96,6.77,10.54
6/17/2011,6.1,20341728.85,113.97,25.99,3.36,6.55,10.35
6/24/2011,6.1,20341728.85,113.97,26.01,4.05,6.19,10.04
7/1/2011,6.9,20627014.86,114.23,26.01,3.76,6.81,10.24
7/8/2011,6.9,20627014.86,114.23,25.98,4.25,6.54,10.24
7/15/2011,6.9,20627014.86,114.23,25.98,4.11,5.96,10.2
7/22/2011,6.9,20627014.86,114.23,25.98,4.36,5.83,9.47
7/29/2011,6.9,20627014.86,114.23,25.98,3.47,5.43,9.37
8/5/2011,6.5,21507110.54,116.26,25.99,3.84,4.94,9.32
8/12/2011,6.5,21507110.54,116.26,25.99,3.94,4.38,9.22
8/19/2011,6.5,21507110.54,116.26,25.99,4.55,3.91,9.46
8/26/2011,6.5,21507110.54,116.26,25.99,5.31,2.99,9.53
9/2/2011,6.5,21198894.13,108.77,25.99,6.01,1.96,8.79
9/9/2011,6.5,21198894.13,108.77,26.01,6.84,2.57,8.16
9/16/2011,6.5,21198894.13,108.77,26.01,8.41,2.82,7.96
9/23/2011,6.5,21198894.13,108.77,26,10.35,2.5,7.87
9/30/2011,6.5,21198894.13,108.77,26,11.94,2.27,7.94
10/7/2011,6.7,21489218.61,105.55,26,12.29,3.88,9.15
10/14/2011,6.7,21489218.61,105.55,25.99,12.83,3.58,8.9
10/21/2011,6.7,21489218.61,105.55,26,14.57,2.69,8.45
10/28/2011,6.7,21489218.61,105.55,25.98,14.98,2.32,7.88
11/4/2011,6.4,21504322.51,106.48,25.52,10.35,-1.17,3.87
11/11/2011,6.4,21504322.51,106.48,25.68,6.46,-1.26,4.87
11/18/2011,6.4,21504322.51,106.48,25.69,5.53,-1.37,6.41
11/25/2011,6.4,21504322.51,106.48,25.64,5.69,-2.17,6.42
12/2/2011,6,21805742.07,105.39,25.62,6.26,-0.76,8.23
12/9/2011,6,21805742.07,105.39,23.63,6.4,1.92,8.31
12/16/2011,6,21805742.07,105.39,23.64,7.36,2.62,8.34
12/23/2011,6,21805742.07,105.39,23.63,10.23,2.85,8.42
12/30/2011,6,21805742.07,105.39,23.64,11.31,1.9,8.25
1/6/2012,6.4,21387857.48,105.42,23.25,7.26,0.1,7.06
1/13/2012,6.4,21387857.48,105.42,23.25,6.04,0.74,7.06
1/20/2012,6.4,21387857.48,105.42,23.25,5.48,0.74,7.41
1/27/2012,6.4,21387857.48,105.42,23.25,5.27,1.61,7.41
2/3/2012,6,21807960.02,110.7,23.25,5.05,0.59,7.18
2/10/2012,6,21807960.02,110.7,23.24,4.95,0.59,7.18
2/17/2012,6,21807960.02,110.7,23.24,4.89,2.58,7.3
2/24/2012,6,21807960.02,110.7,23.26,7.18,2.58,7.3
3/2/2012,6.4,22261330.11,112.06,23.26,7.18,3.71,6.93
3/9/2012,6.4,22261330.11,112.06,23.25,6.51,3.71,6.93
3/16/2012,6.4,22261330.11,112.06,23.25,6.52,4.76,6.76
3/23/2012,6.4,22261330.11,112.06,23.26,5.95,4.76,6.76
3/30/2012,6.4,22261330.11,112.06,23.26,6.24,3.93,6.75
4/6/2012,6.5,22341034.14,109.55,23.25,5.22,3.93,6.75
4/13/2012,6.5,22341034.14,109.55,23.25,8.06,2.41,6.26
4/20/2012,6.5,22341034.14,109.55,22.87,8.48,2.41,6.26
4/27/2012,6.5,22341034.14,109.55,22.85,8.38,2.4,5.91
5/4/2012,6.6,22424739.99,105.55,22.85,8.23,2.4,5.91
5/11/2012,6.6,22424739.99,105.55,19.22,7.77,1.88,7.09
5/18/2012,6.6,22424739.99,105.55,19.25,7.82,1.88,7.09
5/25/2012,6.6,22424739.99,105.55,19.25,7.43,1.91,7.4
6/1/2012,6.7,23005407.21,103.48,19.26,7.36,1.62,7.11
6/8/2012,6.7,23005407.21,103.48,19.28,7.2,1.64,6.4
6/15/2012,6.7,23005407.21,103.48,19.28,7.66,1.64,6.4
6/22/2012,6.7,23005407.21,103.48,19.27,8.64,2.27,6.11
6/29/2012,6.7,23005407.21,103.48,16.61,8.64,2.27,6.11
7/6/2012,6.2,22676253.5,95.22,16.61,9.79,2.61,6.13
7/13/2012,6.2,22676253.5,95.22,16.63,7.66,2.61,6.13
7/20/2012,6.2,22676253.5,95.22,16.62,9.63,1.67,5.92
7/27/2012,6.2,22676253.5,95.22,16.62,9.36,1.67,5.92
8/3/2012,6.4,23183581.15,95.54,16.62,8.75,1.17,5.93
8/10/2012,6.4,23183581.15,95.54,16.62,8.75,1.17,5.93
8/17/2012,6.4,23183581.15,95.54,16.61,8.75,1.06,7.41
8/24/2012,6.4,23183581.15,95.54,16.61,8.75,1.06,7.41
